environment,architecture,tier,server,workload,concurrency,connection_mode,trials,median_requests_per_second,min_requests_per_second,max_requests_per_second,median_p50_ms,median_p90_ms,median_p99_ms,median_p999_ms,minimum_success_rate,maximum_timeouts,classification
local-arm64,arm64,application,actix-web,routed-get,8,keepalive,1,173396.5475929852,173396.5475929852,173396.5475929852,0.045167000000000006,0.062959,0.080709,0.10008399999999999,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,actix-web,routed-get,32,keepalive,1,688719.4322548766,688719.4322548766,688719.4322548766,0.040333999999999995,0.078542,0.145127,0.240961,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,actix-web,routed-get,128,keepalive,1,1689296.7759005679,1689296.7759005679,1689296.7759005679,0.06046,0.11462699999999999,0.22387700000000002,0.580132,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,aws,plaintext,8,keepalive,1,42204.39555200345,42204.39555200345,42204.39555200345,0.194882,0.276927,0.30559400000000003,0.43434799999999996,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,aws,plaintext,32,keepalive,1,30037.38669885222,30037.38669885222,30037.38669885222,1.078496,1.150249,1.3350879999999998,3.8443430000000003,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,aws,plaintext,128,keepalive,1,31540.910526414384,31540.910526414384,31540.910526414384,3.5472490000000003,3.821592,4.616328,12.579607,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,aws,response-1k,8,keepalive,1,46018.702468064366,46018.702468064366,46018.702468064366,0.165048,0.270884,0.302553,0.51381,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,aws,response-1k,32,keepalive,1,29352.85015363424,29352.85015363424,29352.85015363424,1.110998,1.160791,1.2793780000000001,3.846634,1.0,0,one-second-saturation-probe
local-arm64,arm64,plain,aws,response-1k,128,keepalive,1,29806.247830695782,29806.247830695782,29806.247830695782,3.305282,3.6396279999999996,4.129644,14.90173,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,axum,routed-get,8,keepalive,1,219796.84995095112,219796.84995095112,219796.84995095112,0.033541999999999995,0.056584,0.079585,0.18446,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,axum,routed-get,32,keepalive,1,324370.4794695766,324370.4794695766,324370.4794695766,0.093793,0.159836,0.197585,0.27017,1.0,0,one-second-saturation-probe
local-arm64,arm64,application,axum,routed-get,128,keepalive,1,507424.6294877535,507424.6294877535,507424.6294877535,0.206961,0.475631,0.717968,1.0166380000000002,1.0,0,one-second-saturation-probe
